dt,sigma_x,sigma_y,sigma_z,z
9.999999999999999e-05,4713.89914014129,4712.22646692721,9999.99673443861,101
0.0005,4866.9424541232775,4869.859095708003,9999.989196373368,101
0.001,4907.094381790261,4865.900731621369,9999.984806664903,101
0.005,5102.581960248228,4963.374371812849,9999.977352562546,101
0.01,4275.447036008526,4087.006488946848,9999.983470390189,101
0.09999999999999999,1483.8010779460517,2002.9376154082831,9999.997647329099,101
0.5,764.726873520915,477.96457279790536,9999.998963191778,101
1.0,5244.829149799855,4644.5960669872065,9999.95909804456,101
9.999999999999999e-05,4929.304669310099,4928.210127444118,9999.999528732436,126
0.0005,4956.711564417686,4951.4658069304405,9999.998393526977,126
0.001,4976.160925103338,4933.711643276732,9999.997682921627,126
0.005,5071.010882624597,4938.40592678033,9999.99609608722,126
0.01,4966.94415125616,5005.585529912153,9999.996004649729,126
0.09999999999999999,1409.051227771806,3168.968996112717,9999.998819593635,126
0.5,519.8613389629285,1957.8476098220203,9999.999955603163,126
1.0,1254.9259230911298,1768.7312339544062,9999.999205586166,126
9.999999999999999e-05,5051.961990690656,5053.912957691252,9999.99981095364,151
0.0005,4999.044848862818,5000.133214899374,9999.999367528431,151
0.001,4999.212380798877,4997.381253646967,9999.999061508594,151
0.005,5023.6556704998675,5018.203959924369,9999.99848235615,151
0.01,5004.898303002911,5000.734225333219,9999.99840215337,151
0.09999999999999999,4993.467200334858,4840.022211704821,9999.998481909675,151
0.5,2916.9771090199265,1847.8311453640017,9999.999810729723,151
1.0,6151.536632409686,1879.935484647946,9999.999815068202,151
9.999999999999999e-05,5222.547056244574,5223.250296629976,10000.000000804564,176
0.0005,5043.94131623618,5043.757421541381,9999.99994906663,176
0.001,5026.431737542414,5031.098260679229,9999.999911035613,176
0.005,4991.045791883476,5045.599565011372,9999.999842578678,176
0.01,4929.376334576598,5090.842513950953,9999.999833971095,176
0.09999999999999999,4358.5986785810255,5347.119746220452,9999.999824016017,176
0.5,4668.930528168726,3648.7779467544283,9999.999864133382,176
1.0,4704.238146726824,5194.469033908365,9999.999922434936,176
9.999999999999999e-05,5479.313476639216,5479.643468380287,9999.999959166422,201
0.0005,5122.324064244453,5120.141249175651,9999.999851486438,201
0.001,5050.054268660851,5097.830808410901,9999.999785567446,201
0.005,5023.3353334151025,5055.6654678652685,9999.999642981125,201
0.01,5009.16364003583,5067.715636522643,9999.999611953095,201
0.09999999999999999,4993.092531936223,5065.689522103443,9999.999553466347,201
0.5,1246.852750520946,4953.865208499907,9999.999942487935,201
1.0,6517.8796222030605,2515.2523324500676,9999.999710939639,201
9.999999999999999e-05,5796.081583711712,5796.348091395697,10000.000017930357,226
0.0005,5260.73095836502,5263.146442929613,10000.000003116795,226
0.001,5158.630865031777,5172.205484760468,9999.999994160124,226
0.005,5079.8557510599585,5096.302659833407,9999.999974461392,226
0.01,5020.691884252728,5135.2313285121745,9999.999971887306,226
0.09999999999999999,6040.43429166331,3810.7114394415025,9999.999805365414,226
0.5,4473.136635547963,5547.878717668002,9999.999972262081,226
1.0,5140.413069594148,3521.870245513838,10000.000015633985,226
9.999999999999999e-05,6117.426149802893,6117.207630843504,10000.000030387313,251
0.0005,5464.5884064041,5464.435186853592,10000.000030387177,251
0.001,5316.77816050579,5311.479231413875,10000.0000303871,251
0.005,5217.893449178094,5132.2634972879705,10000.000030386758,251
